epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4839,1.48005,1.39322,1.06161,0.51679,0.46965,0.44175,0.14455,2.13721,inf,1.5265,0.0703797,0.00329114,0.00329114
2,61.3766,1.14034,0.71572,0.95317,0.89374,0.92834,0.90739,0.64834,1.05232,inf,0.90312,0.0403142,0.00655889,0.00655889
3,90.8963,1.02797,0.63673,0.91985,0.92454,0.92075,0.93004,0.7028,0.91764,inf,0.85451,0.0101826,0.00976064,0.00976064
4,119.948,0.97024,0.59282,0.91115,0.82545,0.90493,0.92896,0.65442,1.07465,inf,0.92367,0.009703,0.009703,0.009703
5,148.793,0.92508,0.56099,0.89699,0.90486,0.93879,0.9594,0.76877,0.78652,inf,0.8176,0.009604,0.009604,0.009604
6,177.547,0.84108,0.53056,0.87724,0.92513,0.9312,0.96402,0.77474,0.78878,inf,0.8189,0.009505,0.009505,0.009505
7,206.438,0.83179,0.51476,0.87587,0.91351,0.91221,0.94573,0.74779,0.82528,inf,0.82794,0.009406,0.009406,0.009406
8,235.27,0.77393,0.49843,0.85749,0.93163,0.94941,0.97081,0.82619,0.62637,inf,0.77773,0.009307,0.009307,0.009307
9,264.067,0.74953,0.49683,0.86099,0.91586,0.93827,0.96098,0.76383,0.80682,inf,0.83648,0.009208,0.009208,0.009208
10,293.003,0.71738,0.46962,0.84804,0.9316,0.93613,0.96814,0.80822,0.67056,inf,0.78053,0.009109,0.009109,0.009109
11,321.888,0.69253,0.45527,0.84717,0.92204,0.94645,0.97689,0.82418,0.6529,inf,0.78889,0.00901,0.00901,0.00901
12,350.925,0.67579,0.45097,0.8443,0.91637,0.9442,0.97566,0.84778,0.56335,0.44271,0.7615,0.008911,0.008911,0.008911
13,380.283,0.63842,0.44219,0.83832,0.93974,0.92689,0.97689,0.83716,0.62054,inf,0.7736,0.008812,0.008812,0.008812
14,409.042,0.64977,0.43596,0.8405,0.92655,0.85112,0.93748,0.79317,0.67158,inf,0.79075,0.008713,0.008713,0.008713
15,437.687,0.61796,0.42248,0.83257,0.91771,0.92267,0.97685,0.8684,0.52194,0.4231,0.75378,0.008614,0.008614,0.008614
16,466.414,0.61783,0.4238,0.83107,0.79372,0.7696,0.85759,0.70005,0.73832,inf,0.81238,0.008515,0.008515,0.008515
17,495.058,0.60245,0.41595,0.8315,0.94879,0.94237,0.97047,0.86385,0.51626,inf,0.74971,0.008416,0.008416,0.008416
