epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1457,1.49631,1.33139,1.22113,0.64101,0.70936,0.80846,0.49028,1.41388,1.85451,1.18313,0.070411,0.00328767,0.00328767
2,53.2668,0.99764,0.60418,0.98385,0.9575,0.9582,0.98567,0.63548,1.25566,0.69111,1.15946,0.0403454,0.00655546,0.00655546
3,78.3302,0.91825,0.53234,0.95487,0.97746,0.95681,0.98581,0.71784,1.03048,0.58734,1.06145,0.0102139,0.00975724,0.00975724
4,103.369,0.84371,0.48891,0.93238,0.98247,0.98319,0.99145,0.7784,0.7848,0.48412,0.95576,0.009703,0.009703,0.009703
5,128.303,0.73087,0.43256,0.8999,0.56774,0.95834,0.57842,0.45819,0.7809,0.69606,0.9605,0.009604,0.009604,0.009604
6,153.28,0.67511,0.40056,0.88098,0.98971,0.98704,0.99324,0.84252,0.64338,0.38282,0.91313,0.009505,0.009505,0.009505
7,178.042,0.67263,0.39965,0.88028,0.99421,0.99163,0.99385,0.84562,0.62242,0.37044,0.90224,0.009406,0.009406,0.009406
8,203.075,0.64698,0.37875,0.87336,0.99059,0.98773,0.99305,0.82375,0.68803,0.41562,0.93523,0.009307,0.009307,0.009307
9,227.977,0.61694,0.36589,0.8671,0.98159,0.97993,0.99217,0.81032,0.72132,0.39506,0.94481,0.009208,0.009208,0.009208
10,252.732,0.59534,0.35575,0.8578,0.99413,0.9942,0.99302,0.87364,0.51852,0.31687,0.85923,0.009109,0.009109,0.009109
11,277.413,0.57606,0.34639,0.85404,0.99457,0.99358,0.99286,0.8734,0.52079,0.31135,0.86926,0.00901,0.00901,0.00901
12,302.258,0.56555,0.33596,0.8518,0.98481,0.9807,0.99262,0.85069,0.64056,0.38729,0.91268,0.008911,0.008911,0.008911
13,327.223,0.55463,0.3338,0.8523,0.9817,0.98725,0.99291,0.85391,0.58356,0.38809,0.8977,0.008812,0.008812,0.008812
14,352.085,0.55134,0.33745,0.85077,0.99442,0.99514,0.99283,0.88873,0.50688,0.30001,0.87058,0.008713,0.008713,0.008713
15,376.706,0.54347,0.33066,0.84793,0.99233,0.98891,0.99303,0.81783,0.74522,0.35131,0.97954,0.008614,0.008614,0.008614
16,401.666,0.53037,0.31835,0.84337,0.99392,0.99285,0.9929,0.90636,0.45277,0.27729,0.85291,0.008515,0.008515,0.008515
17,426.534,0.53169,0.31755,0.84367,0.98844,0.98564,0.99232,0.83373,0.67772,0.35679,0.93513,0.008416,0.008416,0.008416
18,451.629,0.50959,0.3103,0.83878,0.99288,0.9932,0.99307,0.89539,0.49323,0.29417,0.86397,0.008317,0.008317,0.008317
19,476.878,0.51893,0.31422,0.84057,0.99518,0.99571,0.99332,0.88548,0.50081,0.28599,0.86122,0.008218,0.008218,0.008218
20,502.417,0.50232,0.30992,0.83846,0.99333,0.99159,0.99322,0.89703,0.49345,0.29392,0.86294,0.008119,0.008119,0.008119
21,527.539,0.48746,0.30107,0.8347,0.99439,0.99527,0.993,0.89332,0.48686,0.27537,0.87064,0.00802,0.00802,0.00802
22,552.424,0.48492,0.29807,0.83583,0.99356,0.99453,0.99342,0.91174,0.45646,0.26444,0.85921,0.007921,0.007921,0.007921
23,577.545,0.47909,0.29332,0.83203,0.99561,0.99545,0.99338,0.91263,0.4208,0.25803,0.84545,0.007822,0.007822,0.007822
24,602.539,0.49981,0.29893,0.83822,0.99523,0.99554,0.99269,0.90647,0.46188,0.27249,0.85485,0.007723,0.007723,0.007723
25,627.37,0.48383,0.29537,0.834,0.99553,0.99611,0.99348,0.92957,0.39538,0.24372,0.83641,0.007624,0.007624,0.007624
26,652.321,0.47195,0.28494,0.82906,0.99493,0.99447,0.99296,0.92585,0.39729,0.24631,0.83521,0.007525,0.007525,0.007525
27,677.011,0.45061,0.27696,0.82581,0.9944,0.99598,0.9921,0.92538,0.40055,0.2394,0.83597,0.007426,0.007426,0.007426
28,702.277,0.4744,0.29207,0.83173,0.99183,0.99302,0.99273,0.92046,0.41508,0.26076,0.84013,0.007327,0.007327,0.007327
29,726.823,0.45862,0.28392,0.82704,0.9926,0.99369,0.99385,0.93486,0.37754,0.24891,0.83417,0.007228,0.007228,0.007228
30,751.422,0.46419,0.28575,0.82857,0.99546,0.9964,0.99375,0.93215,0.39262,0.24254,0.83843,0.007129,0.007129,0.007129
31,776.239,0.45673,0.28345,0.8344,0.99508,0.99569,0.9936,0.92505,0.39552,0.24561,0.84226,0.00703,0.00703,0.00703
32,800.788,0.45409,0.28233,0.82798,0.99415,0.99458,0.99301,0.86305,0.61879,0.29343,0.9187,0.006931,0.006931,0.006931
33,825.254,0.44195,0.27497,0.82406,0.9901,0.9914,0.99295,0.93085,0.37774,0.23688,0.83209,0.006832,0.006832,0.006832
34,849.692,0.45804,0.27792,0.82881,0.99592,0.99575,0.99334,0.93823,0.36921,0.22894,0.83549,0.006733,0.006733,0.006733
35,874.319,0.44942,0.27651,0.82748,0.99473,0.99439,0.99378,0.93973,0.36538,0.23572,0.83199,0.006634,0.006634,0.006634
36,899.004,0.43785,0.2704,0.82509,0.99521,0.9949,0.99358,0.92232,0.41499,0.24168,0.84368,0.006535,0.006535,0.006535
37,923.818,0.43649,0.27334,0.82606,0.99504,0.99576,0.99384,0.94216,0.35542,0.2211,0.83096,0.006436,0.006436,0.006436
38,948.52,0.44529,0.27418,0.82715,0.99541,0.99524,0.9932,0.93626,0.3636,0.22816,0.83349,0.006337,0.006337,0.006337
39,973.046,0.42389,0.2653,0.82101,0.99585,0.99541,0.99308,0.93977,0.36903,0.2245,0.83005,0.006238,0.006238,0.006238
40,997.538,0.44368,0.27111,0.8256,0.99563,0.99586,0.99242,0.93378,0.37198,0.22546,0.832,0.006139,0.006139,0.006139
41,1022.13,0.45479,0.273,0.82899,0.9958,0.99582,0.99386,0.93398,0.38995,0.22509,0.83944,0.00604,0.00604,0.00604
42,1046.5,0.42437,0.26299,0.82173,0.99505,0.99505,0.99376,0.94002,0.34904,0.21345,0.82963,0.005941,0.005941,0.005941
43,1070.78,0.41328,0.25882,0.82104,0.99605,0.996,0.99368,0.95034,0.32102,0.20575,0.82454,0.005842,0.005842,0.005842
44,1095.12,0.41914,0.25844,0.81968,0.99539,0.99621,0.99346,0.94707,0.34611,0.21873,0.82522,0.005743,0.005743,0.005743
45,1119.51,0.41273,0.26185,0.82149,0.99345,0.99509,0.99385,0.9471,0.33974,0.22003,0.82589,0.005644,0.005644,0.005644
46,1143.9,0.40649,0.25632,0.81776,0.99588,0.99602,0.99322,0.95512,0.30927,0.20211,0.82123,0.005545,0.005545,0.005545
47,1168.47,0.40614,0.25299,0.81991,0.99495,0.99574,0.99317,0.94997,0.33636,0.21103,0.82826,0.005446,0.005446,0.005446
48,1193.02,0.4059,0.2543,0.81946,0.99548,0.99535,0.99357,0.92499,0.40107,0.23091,0.84626,0.005347,0.005347,0.005347
49,1217.55,0.41441,0.25604,0.81998,0.99562,0.9958,0.99343,0.9458,0.34584,0.20568,0.82878,0.005248,0.005248,0.005248
50,1242.58,0.41111,0.25274,0.81949,0.99588,0.99605,0.99362,0.94898,0.33494,0.20701,0.82691,0.005149,0.005149,0.005149
51,1267.38,0.39299,0.24341,0.81387,0.99627,0.99596,0.99374,0.95589,0.30766,0.19665,0.82023,0.00505,0.00505,0.00505
52,1292.11,0.39335,0.2473,0.8153,0.99449,0.99432,0.9936,0.95507,0.31301,0.20374,0.82366,0.004951,0.004951,0.004951
