epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9816,1.59068,1.40668,1.30241,0.44276,0.51675,0.46218,0.24262,1.65804,1.90559,1.52198,0.0704762,0.00328042,0.00328042
2,47.1321,1.09172,0.64713,1.04815,0.81759,0.79567,0.87336,0.52385,1.41788,1.00817,1.34873,0.0403889,0.00652646,0.00652646
3,69.6099,0.95495,0.5512,0.98671,0.9453,0.91585,0.97329,0.67774,1.09301,0.65443,1.12192,0.0102136,0.00968449,0.00968449
4,91.6162,0.89471,0.50838,0.96826,0.67311,0.65418,0.79182,0.49991,1.25477,1.48475,1.2577,0.009604,0.009604,0.009604
5,113.998,0.79163,0.47558,0.9329,0.9369,0.94868,0.97889,0.75715,0.83024,0.58854,0.99829,0.009472,0.009472,0.009472
6,136.226,0.73674,0.43475,0.91503,0.98763,0.98413,0.99408,0.79417,0.799,0.41779,0.96536,0.00934,0.00934,0.00934
7,158.433,0.68476,0.40741,0.89558,0.99744,0.99755,0.99468,0.82618,0.70441,0.3696,0.92418,0.009208,0.009208,0.009208
8,180.467,0.67486,0.40085,0.895,0.99443,0.99627,0.99457,0.85926,0.58567,0.35295,0.88198,0.009076,0.009076,0.009076
9,202.347,0.64164,0.3863,0.88436,0.99706,0.99802,0.9944,0.86648,0.57721,0.34365,0.88088,0.008944,0.008944,0.008944
10,224.165,0.63485,0.38619,0.88719,0.99708,0.99833,0.99461,0.85686,0.634,0.33223,0.89392,0.008812,0.008812,0.008812
11,245.682,0.61791,0.37267,0.8808,0.9973,0.99552,0.99452,0.8687,0.56936,0.31793,0.87683,0.00868,0.00868,0.00868
12,267.749,0.58741,0.3566,0.86976,0.9982,0.99813,0.99447,0.86856,0.57194,0.31452,0.87711,0.008548,0.008548,0.008548
13,290.354,0.58864,0.35275,0.86942,0.97576,0.97951,0.99113,0.88069,0.50952,0.34314,0.8538,0.008416,0.008416,0.008416
14,312.407,0.57517,0.35236,0.86864,0.99788,0.99848,0.99468,0.88342,0.52609,0.32149,0.85894,0.008284,0.008284,0.008284
15,334.195,0.57543,0.34557,0.86728,0.99689,0.99651,0.9946,0.9024,0.49718,0.30247,0.85266,0.008152,0.008152,0.008152
16,355.8,0.56317,0.34025,0.86203,0.99822,0.99835,0.99474,0.88285,0.52786,0.28738,0.86609,0.00802,0.00802,0.00802
17,377.242,0.54714,0.33769,0.85831,0.99134,0.99266,0.99414,0.88085,0.51511,0.31175,0.85595,0.007888,0.007888,0.007888
18,399.205,0.55807,0.34002,0.86027,0.99836,0.99891,0.99471,0.8859,0.53892,0.29144,0.8668,0.007756,0.007756,0.007756
19,421.77,0.56076,0.33725,0.86291,0.99853,0.99864,0.99453,0.90402,0.46649,0.27395,0.8474,0.007624,0.007624,0.007624
20,444.251,0.52692,0.32497,0.85486,0.99758,0.99799,0.99469,0.86933,0.58077,0.30621,0.8826,0.007492,0.007492,0.007492
21,465.661,0.515,0.32121,0.85,0.99809,0.99847,0.99464,0.90322,0.48511,0.27387,0.84815,0.00736,0.00736,0.00736
22,487.446,0.52902,0.32427,0.85559,0.99771,0.99835,0.9944,0.91868,0.43204,0.25902,0.83665,0.007228,0.007228,0.007228
23,510.413,0.51258,0.31757,0.85213,0.99266,0.99354,0.99441,0.86213,0.57432,0.32038,0.88025,0.007096,0.007096,0.007096
24,533.16,0.50682,0.31354,0.85014,0.99713,0.9967,0.99483,0.91256,0.44258,0.25958,0.83472,0.006964,0.006964,0.006964
25,555.758,0.49821,0.30896,0.84652,0.99375,0.99402,0.99125,0.90455,0.4547,0.26632,0.84347,0.006832,0.006832,0.006832
26,578.505,0.49594,0.30384,0.84701,0.99828,0.99828,0.99467,0.89359,0.50844,0.2723,0.86399,0.0067,0.0067,0.0067
27,600.822,0.48834,0.30238,0.84441,0.99856,0.99865,0.9946,0.91747,0.44291,0.25278,0.84304,0.006568,0.006568,0.006568
28,622.496,0.46654,0.29314,0.8391,0.99745,0.99732,0.9945,0.92146,0.42594,0.24302,0.82954,0.006436,0.006436,0.006436
29,644.465,0.47104,0.2988,0.83848,0.99856,0.99882,0.99471,0.92285,0.42601,0.24004,0.83165,0.006304,0.006304,0.006304
30,666.887,0.47063,0.29395,0.84048,0.99859,0.99888,0.99489,0.92482,0.40523,0.23274,0.82977,0.006172,0.006172,0.006172
31,689.207,0.47942,0.29875,0.84183,0.99811,0.99817,0.99452,0.9104,0.48824,0.26056,0.8572,0.00604,0.00604,0.00604
32,712.347,0.46641,0.28968,0.83865,0.99725,0.99755,0.99461,0.92545,0.40984,0.23967,0.82279,0.005908,0.005908,0.005908
33,734.073,0.45389,0.28105,0.83483,0.99787,0.9983,0.99458,0.92491,0.43105,0.23641,0.83715,0.005776,0.005776,0.005776
34,755.58,0.45877,0.28746,0.83668,0.99754,0.995,0.99467,0.91909,0.43806,0.24672,0.83422,0.005644,0.005644,0.005644
35,777.353,0.46942,0.28608,0.83846,0.99852,0.99858,0.99455,0.93777,0.38832,0.22804,0.81627,0.005512,0.005512,0.005512
36,799.582,0.44596,0.27666,0.83517,0.9983,0.99813,0.99444,0.93792,0.36369,0.21885,0.81407,0.00538,0.00538,0.00538
37,821.579,0.43717,0.27724,0.83166,0.99763,0.99723,0.99437,0.90643,0.47684,0.23857,0.85108,0.005248,0.005248,0.005248
38,843.882,0.4431,0.2794,0.83303,0.99813,0.99846,0.9948,0.94869,0.35455,0.21631,0.81424,0.005116,0.005116,0.005116
39,865.959,0.43864,0.27651,0.83236,0.99871,0.99898,0.99467,0.93027,0.40569,0.22951,0.82715,0.004984,0.004984,0.004984
40,887.592,0.43745,0.27373,0.83142,0.99783,0.99859,0.99472,0.95166,0.33877,0.20627,0.81004,0.004852,0.004852,0.004852
41,909.445,0.42309,0.26716,0.82973,0.99814,0.99869,0.99464,0.94765,0.35341,0.21293,0.81105,0.00472,0.00472,0.00472
42,930.927,0.42533,0.26843,0.82883,0.99731,0.99804,0.99449,0.87221,0.59203,0.271,0.89639,0.004588,0.004588,0.004588
43,952.7,0.40793,0.26157,0.8234,0.99795,0.99822,0.99464,0.92672,0.42865,0.22933,0.82819,0.004456,0.004456,0.004456
44,974.765,0.40961,0.25991,0.82427,0.99862,0.99867,0.99449,0.95774,0.32375,0.20149,0.79934,0.004324,0.004324,0.004324
45,997.337,0.41529,0.26495,0.82721,0.99868,0.99833,0.99464,0.95029,0.34648,0.20499,0.80817,0.004192,0.004192,0.004192
46,1020.22,0.41193,0.26296,0.8257,0.99178,0.99642,0.99347,0.94535,0.34851,0.21626,0.80669,0.00406,0.00406,0.00406
47,1042.79,0.40231,0.25873,0.82469,0.99843,0.99839,0.99465,0.93626,0.37076,0.21104,0.81436,0.003928,0.003928,0.003928
48,1065.33,0.41528,0.26317,0.82655,0.99863,0.99881,0.99469,0.96054,0.32273,0.19285,0.80021,0.003796,0.003796,0.003796
49,1087.6,0.38464,0.24939,0.8191,0.99818,0.99838,0.99475,0.96267,0.30106,0.18906,0.79302,0.003664,0.003664,0.003664
